StateAbbr,StateDesc,CountyName,CountyFIPS,TotalPopulation,TotalPop18plus,DEPRESSION_CrudePrev,DEPRESSION_Crude95CI,DEPRESSION_AdjPrev,DEPRESSION_Adj95CI,MedianIncome,PovertyRate
NC,North Carolina,Bertie,37015,17240,14342,19.9,"(16.7, 23.5)",21.1,"(17.8, 24.8)",41652,21.4
NC,North Carolina,Vance,37181,42138,32110,21.7,"(18.4, 25.3)",22.7,"(19.2, 26.4)",48340,18.7
NC,North Carolina,New Hanover,37129,234921,194120,24.3,"(21.0, 28.1)",24.9,"(21.6, 28.8)",67515,12.7
NC,North Carolina,Martin,37117,21508,17181,22.3,"(18.7, 26.1)",24.1,"(20.3, 28.1)",44799,20.5
NC,North Carolina,Edgecombe,37065,48301,37386,20.8,"(17.5, 24.3)",22.0,"(18.6, 25.6)",46370,22.0
NC,North Carolina,Hyde,37095,4576,3862,22.5,"(19.0, 26.5)",23.4,"(19.7, 27.4)",43724,29.9
NC,North Carolina,Rowan,37159,149645,117165,22.8,"(19.2, 26.6)",23.5,"(19.9, 27.4)",59717,16.4
NC,North Carolina,Dare,37055,37956,31156,22.0,"(18.4, 25.9)",23.5,"(19.7, 27.5)",79742,6.5
NC,North Carolina,Wilkes,37193,65784,52904,25.3,"(21.4, 29.2)",27.1,"(23.1, 31.3)",49119,17.1
NC,North Carolina,Moore,37125,105531,82726,21.7,"(18.3, 25.2)",23.2,"(19.5, 26.9)",77981,9.5
NC,North Carolina,Cleveland,37045,100670,78292,23.9,"(20.3, 27.8)",24.7,"(21.1, 28.8)",50723,18.4
NC,North Carolina,Haywood,37087,62609,51693,22.6,"(19.1, 26.4)",24.3,"(20.6, 28.3)",56596,12.1
NC,North Carolina,Davie,37059,44090,35045,23.8,"(20.3, 27.7)",25.7,"(21.9, 29.8)",69105,11.6
NC,North Carolina,Randolph,37151,146043,113982,25.1,"(21.3, 29.1)",26.1,"(22.2, 30.2)",56423,14.7
NC,North Carolina,Cabarrus,37025,235797,177234,21.1,"(17.8, 24.7)",21.3,"(18.0, 24.9)",83828,8.4
NC,North Carolina,Washington,37187,10828,8655,21.4,"(17.9, 25.0)",23.4,"(19.6, 27.3)",38927,21.6
NC,North Carolina,Carteret,37031,69380,57810,23.5,"(20.0, 27.3)",25.4,"(21.7, 29.5)",66965,9.7
NC,North Carolina,Duplin,37061,48990,37227,21.8,"(18.4, 25.5)",22.8,"(19.2, 26.6)",49376,18.5
NC,North Carolina,Alamance,37001,176353,137937,22.8,"(19.3, 26.6)",23.4,"(19.9, 27.4)",60866,14.2
NC,North Carolina,Greene,37079,20211,16362,21.6,"(18.2, 25.3)",22.0,"(18.5, 25.7)",50320,22.6
NC,North Carolina,Perquimans,37143,13210,10767,21.7,"(18.3, 25.4)",23.9,"(20.2, 27.9)",59401,13.3
NC,North Carolina,Lincoln,37109,93095,74084,24.2,"(20.5, 28.2)",25.3,"(21.4, 29.4)",75672,9.3
NC,North Carolina,Cherokee,37039,29512,24916,24.1,"(20.6, 28.0)",26.8,"(23.0, 30.9)",49254,16.7
NC,North Carolina,Swain,37173,13967,10864,26.0,"(22.2, 30.3)",27.4,"(23.5, 31.9)",52818,19.8
NC,North Carolina,Pamlico,37137,12381,10671,21.7,"(18.0, 25.2)",23.8,"(19.9, 27.6)",55867,13.8
NC,North Carolina,Gates,37073,10383,8389,22.1,"(18.7, 25.9)",24.0,"(20.3, 27.9)",55750,14.3
NC,North Carolina,Ashe,37009,27110,22615,23.8,"(20.3, 27.6)",26.2,"(22.3, 30.2)",49176,14.1
NC,North Carolina,Jones,37103,9233,7545,22.8,"(19.2, 26.5)",24.6,"(20.8, 28.4)",53053,17.7
NC,North Carolina,Stanly,37167,64153,50302,23.8,"(20.1, 27.6)",24.9,"(21.1, 28.9)",60634,13.8
NC,North Carolina,Columbus,37047,49885,39531,24.1,"(20.4, 27.9)",25.3,"(21.4, 29.3)",43206,21.1
NC,North Carolina,Bladen,37017,29446,23540,22.0,"(18.6, 25.7)",23.3,"(19.8, 27.2)",40476,24.4
NC,North Carolina,Hoke,37093,53787,39354,24.0,"(20.5, 27.9)",23.7,"(20.2, 27.5)",57141,17.3
NC,North Carolina,Davidson,37057,172586,135652,23.6,"(20.2, 28.0)",24.9,"(21.2, 29.4)",58473,13.9
NC,North Carolina,Richmond,37153,42778,32808,22.9,"(19.2, 26.8)",23.9,"(20.2, 27.9)",42354,23.0
NC,North Carolina,Mecklenburg,37119,1145392,888818,21.3,"(18.0, 24.8)",21.1,"(17.8, 24.5)",79265,10.5
NC,North Carolina,Chatham,37037,79864,64854,21.2,"(18.0, 24.6)",22.8,"(19.4, 26.5)",84222,10.4
NC,North Carolina,Henderson,37089,118106,96745,23.2,"(19.7, 27.1)",25.2,"(21.4, 29.3)",65508,11.4
NC,North Carolina,Wake,37183,1175021,908531,20.3,"(17.7, 23.3)",20.4,"(17.7, 23.4)",96734,8.2
NC,North Carolina,Montgomery,37123,25894,20532,22.1,"(18.6, 25.7)",23.2,"(19.6, 26.9)",55523,16.2
NC,North Carolina,Rockingham,37157,91957,73468,24.1,"(20.4, 27.8)",25.3,"(21.5, 29.1)",50737,18.8
NC,North Carolina,Person,37145,39386,31351,23.6,"(20.0, 27.5)",25.2,"(21.5, 29.3)",60688,17.2
NC,North Carolina,Johnston,37101,234778,177552,23.7,"(20.3, 27.5)",24.1,"(20.6, 27.9)",75288,10.7
NC,North Carolina,Hertford,37091,20875,17171,20.4,"(17.1, 24.1)",21.2,"(17.8, 25.0)",46196,20.3
NC,North Carolina,Scotland,37165,34162,26314,22.8,"(19.2, 26.5)",23.4,"(19.8, 27.2)",41948,26.1
NC,North Carolina,Guilford,37081,546101,427983,22.4,"(19.3, 25.9)",22.7,"(19.6, 26.2)",62880,15.1
NC,North Carolina,McDowell,37111,44753,36114,26.4,"(22.6, 30.5)",27.7,"(23.7, 32.0)",53532,14.9
NC,North Carolina,Warren,37185,18713,15455,20.5,"(17.2, 24.0)",22.6,"(18.9, 26.2)",42282,21.2
